NUMBER_OF_DRONES,MOBILITY_ALPHA,MAC_MODE,TRAFFIC_RATE,sent,arrived,pdr_percent,e2e_delay_ms,routing_load,throughput_kbps,hop_count,collisions,mac_delay_ms,inference_time_s,seed,timestamp
5,0.5,TDMA,10,823,386,46.901579586877276,3647.3107357512954,1.0595854922279793,16.919411136111407,1.3730569948186528,690,58.86725623268698,216.92900037765503,2025,2026-02-03T01:27:10.542511
5,0.5,TDMA,10,815,352,43.190184049079754,2124.464434659091,1.0681818181818181,19.6868653406625,1.3352272727272727,866,66.20241453831044,224.26486921310425,2026,2026-02-03T01:27:17.878432
5,0.5,TDMA,10,788,377,47.84263959390863,3178.913671087533,1.0106100795755968,14.718636404345053,1.3262599469496021,865,58.66007363770251,215.38458514213562,2027,2026-02-03T01:27:08.998330
5,0.85,TDMA,10,823,333,40.46172539489672,3039.9341441441443,1.2522522522522523,9.86740227777042,1.3333333333333333,793,56.55740735068914,231.47268533706665,2025,2026-02-03T01:27:25.086603
5,0.85,TDMA,10,815,376,46.13496932515338,618.2654414893617,0.925531914893617,52.872479027544365,1.1037234042553192,620,49.106233471074376,223.01642417907715,2026,2026-02-03T01:27:16.630437
5,0.85,TDMA,10,788,357,45.30456852791878,2978.292882352941,1.1008403361344539,19.482673578657604,1.3781512605042017,676,40.122709933774836,205.9676477909088,2027,2026-02-03T01:26:59.581787
10,0.5,TDMA,10,1564,409,26.15089514066496,3529.963173594132,2.2053789731051343,14.720976392449767,1.4963325183374083,2241,66.1902148541114,210.6553053855896,2025,2026-02-03T01:27:04.269795
10,0.5,TDMA,10,1558,441,28.305519897304237,3267.8353446712017,1.9160997732426304,11.934992086463806,1.4489795918367347,2298,63.97087329931973,230.4161696434021,2026,2026-02-03T01:27:24.030672
10,0.5,TDMA,10,1535,362,23.583061889250814,2552.7348812154696,2.3370165745856353,19.599725802439163,1.5359116022099448,2089,58.80708895131087,220.98385310173035,2027,2026-02-03T01:27:14.598444
10,0.85,TDMA,10,1564,394,25.191815856777495,3908.702324873096,2.3883248730964466,10.589150088243553,1.4619289340101522,2583,74.69860746812385,216.13565587997437,2025,2026-02-03T01:27:09.750496
10,0.85,TDMA,10,1558,411,26.379974326059052,2728.201912408759,1.9683698296836982,15.378816251961375,1.4452554744525548,2240,57.95539901880622,211.86282229423523,2026,2026-02-03T01:27:05.477749
10,0.85,TDMA,10,1535,363,23.648208469055373,2873.9414214876033,2.465564738292011,13.040755084830625,1.5537190082644627,2157,61.06051831501833,221.89095973968506,2027,2026-02-03T01:27:15.518306
5,0.5,TDMA,15,1247,490,39.294306335204496,4366.897528571429,0.8061224489795918,13.340007047555202,1.2244897959183674,643,37.411370145631075,232.43540835380554,2025,2026-02-03T01:27:26.062856
5,0.5,TDMA,15,1256,450,35.828025477707,2421.047066666667,0.8844444444444445,21.45683748966315,1.1311111111111112,754,48.440479270315095,228.43503332138062,2026,2026-02-03T01:27:22.062652
5,0.5,TDMA,15,1203,327,27.18204488778055,3756.4111559633025,1.1529051987767585,10.96941681214038,1.327217125382263,835,55.124241057542775,188.54133915901184,2027,2026-02-03T01:26:42.181546
5,0.85,TDMA,15,1247,430,34.48275862068966,4341.735127906977,0.8906976744186047,14.109626560355636,1.2720930232558139,622,40.06388948069241,49.12607002258301,2025,2026-02-03T01:27:29.871164
5,0.85,TDMA,15,1256,602,47.92993630573248,1524.1954352159466,0.5913621262458472,13.700528150262086,1.1212624584717608,460,26.56919372442019,46.84910249710083,2026,2026-02-03T01:27:29.031108
5,0.85,TDMA,15,1203,402,33.416458852867834,3804.8951393034827,0.8905472636815921,9.803787173055758,1.243781094527363,470,35.35353307888041,67.31409215927124,2027,2026-02-03T01:27:52.088483
10,0.5,TDMA,15,2384,545,22.860738255033556,4772.076603669724,1.655045871559633,6.565967441754352,1.3596330275229358,2366,67.89023505323506,47325.149341106415,2025,2026-02-03T14:35:40.715336
10,0.5,TDMA,15,2366,442,18.681318681318682,3967.327938914027,1.8506787330316743,9.841528592054686,1.3823529411764706,2235,56.45998622366289,47332.653079748154,2026,2026-02-03T14:35:49.683321
10,0.5,TDMA,15,2348,363,15.459965928449746,3932.523168044077,2.272727272727273,8.60961867752042,1.4490358126721763,2267,75.15060973187688,47325.08555436134,2027,2026-02-03T14:35:43.475627
10,0.85,TDMA,15,2384,432,18.120805369127517,4316.970268518518,2.0925925925925926,8.22252124922798,1.3888888888888888,2291,108.62045251396647,47327.08474612236,2025,2026-02-03T14:35:46.666983
10,0.85,TDMA,15,2366,438,18.512256973795434,3577.913698630137,1.8105022831050228,10.354713389638334,1.4063926940639269,2081,69.01305511182109,47326.81246614456,2026,2026-02-03T14:35:47.995014
10,0.85,TDMA,15,2348,298,12.691652470187393,3753.3618255033557,2.8859060402684564,9.981074126751649,1.4026845637583893,2344,80.66881654294804,47337.39752435684,2027,2026-02-03T14:35:59.483910
5,0.5,CSMA,5,407,402,98.77149877149877,222.9256766169154,0.8084577114427861,1294.7349347437753,1.4427860696517414,0,4.526113793103448,47306.716596364975,2025,2026-02-03T14:35:29.770702
5,0.5,CSMA,5,399,355,88.97243107769424,1190.1239014084506,0.9154929577464789,1179.8818871047247,1.2901408450704226,4,7.918732365145227,47302.6223988533,2026,2026-02-03T14:35:26.892711
5,0.5,CSMA,5,385,364,94.54545454545455,12.295412087912087,0.8928571428571429,1387.680546994824,1.4175824175824177,0,5.542224907063198,47310.21265125275,2027,2026-02-03T14:35:35.690761
5,0.85,CSMA,5,407,385,94.5945945945946,114.38444155844155,0.8623376623376623,1334.1150166192285,1.3948051948051947,0,5.607447415329768,47307.180549144745,2025,2026-02-03T14:35:33.595108
5,0.85,CSMA,5,399,221,55.388471177944865,36.205375565610865,1.592760180995475,1619.210327131809,1.0,0,17.361452173913044,47300.36371612549,2026,2026-02-03T14:35:28.018499
5,0.85,CSMA,5,385,370,96.1038961038961,13.514643243243244,0.8783783783783784,1271.2771025475322,1.5972972972972972,0,4.871240131578947,47305.82028007507,2027,2026-02-03T14:35:34.819022
10,0.5,CSMA,5,754,731,96.9496021220159,22.984113543091656,0.8891928864569083,1081.5670733123948,1.6347469220246238,40,4.7729934264585046,47323.63646006584,2025,2026-02-03T14:35:53.387491
